AKB_FILIAL;AKB_PROCES;AKB_ITEM;AKB_DESCRI;AKB_ORIGEM;AKB_ENTIDA;AKB_INDICE;AKB_PERMR;AKB_CFGON;AKB_ESTORN
01;000005;02;"BAIXAS A PAGAR - Cancelamento de baixas a pagar                                 ";"  ";SE5;2;" ";2;" "
01;000005;03;"BAIXAS A PAGAR - Baixas a Pagar com Rateio multi naturezas                      ";"  ";SEV;2;" ";2;" "
01;000005;04;"BAIXAS A PAGAR - Baixas a Pagar com Rateio C.Custo multi naturezas              ";"  ";SEZ;4;" ";2;" "
01;000006;01;"BAIXAS A PAGAR AUTOMATICA - Baixas por bordero de pagamento                     ";"  ";SE5;2;" ";2;" "
01;000006;02;"BAIXAS A PAGAR AUTOMATICA - Baixas a Pagar com Rateio multi naturezas           ";"  ";SEV;2;" ";2;" "
01;000006;03;"BAIXAS A PAGAR AUTOMATICA - Baixas a Pagar com Rateio C.Custo multi naturezas   ";"  ";SEZ;4;" ";2;" "
01;000007;01;"MOVIMENTACAO BANCARIA - Transferencia bancaria - Origem                         ";"  ";SE5;1;" ";2;" "
01;000007;02;"MOVIMENTACAO BANCARIA - Transferencia bancaria - Destino                        ";"  ";SE5;1;" ";2;" "
01;000007;03;"MOVIMENTACAO BANCARIA - Movimento bancario a pagar                              ";"  ";SE5;1;" ";2;" "
01;000007;04;"MOVIMENTACAO BANCARIA - Movimento bancario a receber                            ";"  ";SE5;1;" ";2;" "
01;000007;05;"MOVIMENTACAO BANCARIA - Rateio de movimento bancario a pagar                    ";"  ";CV4;1;" ";2;" "
01;000007;06;"MOVIMENTACAO BANCARIA - Rateio de movimento bancario a receber                  ";"  ";CV4;1;" ";2;" "
01;000007;07;"MOVIMENTACAO BANCARIA - Cancelamento de movimento bancario a pagar              ";"  ";SE5;1;" ";2;" "
01;000007;08;"MOVIMENTACAO BANCARIA - Cancelamento de movimento bancario a receber            ";"  ";SE5;1;" ";2;" "
01;000007;09;"MOVIMENTACAO BANCARIA - Cancelamento de rateio de movimento bancario a pagar    ";"  ";CV4;1;" ";2;" "
01;000007;10;"MOVIMENTACAO BANCARIA - Cancelamento de rateio de movimento bancario a receber  ";"  ";CV4;1;" ";2;" "
01;000007;11;"MOVIMENTACAO BANCARIA - Despesas de movimentacao bancaria                       ";"  ";SE5;1;" ";2;" "
01;000008;01;"APLICACOES FINANCEIRAS/EMPRESTIMOS - Atualização de aplicação financeira        ";"  ";SEH;1;" ";2;" "
01;000009;01;"RESGATE DE APLICACOES/EMPRESTIMOS - Restage de aplicacao financeira             ";"  ";SEH;1;" ";2;" "
01;000009;02;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa Valor do Principal (inclusao)         ";"  ";SEI;1;" ";2;" "
01;000009;03;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor dos Juros (inclusao)                  ";"  ";SEI;1;" ";2;" "
01;000009;04;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Valor do Resgate (inclusao)        ";"  ";SEI;1;" ";2;" "
01;000009;05;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IRF (inclusao)                     ";"  ";SEI;1;" ";2;" "
01;000009;06;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IOF (inclusao)                     ";"  ";SEI;1;" ";2;" "
01;000009;07;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do SWAP (inclusao)                    ";"  ";SEI;1;" ";2;" "
01;000009;08;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IRF s/ SWAP (inclusao)             ";"  ";SEI;1;" ";2;" "
01;000009;09;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor de despesas (inclusao)                ";"  ";SEI;1;" ";2;" "
01;000009;10;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do Credito (inclusao)                 ";"  ";SEI;1;" ";2;" "
01;000009;11;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IRF (inclusao)               ";"  ";SEI;1;" ";2;" "
01;000009;12;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IOF (inclusao)               ";"  ";SEI;1;" ";2;" "
01;000009;13;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IRF s/ SWAP(inclusao)        ";"  ";SEI;1;" ";2;" "
01;000009;14;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao de despesas (inclusao)          ";"  ";SEI;1;" ";2;" "
01;000009;15;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao dos Juros (inclusao)            ";"  ";SEI;1;" ";2;" "
01;000009;16;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa Valor do Principal (estorno)          ";"  ";SEI;1;" ";2;" "
01;000009;17;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor dos Juros (estorno)                   ";"  ";SEI;1;" ";2;" "
01;000009;18;"RESGATE DE APLICACOES/EMPRESTIMOS - Baixa do Valor do Resgate (estorno)         ";"  ";SEI;1;" ";2;" "
01;000009;19;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IRF (estorno)                      ";"  ";SEI;1;" ";2;" "
01;000009;20;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IOF (estorno)                      ";"  ";SEI;1;" ";2;" "
01;000009;21;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do SWAP (estorno)                     ";"  ";SEI;1;" ";2;" "
01;000009;22;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do IRF s/ SWAP (estorno)              ";"  ";SEI;1;" ";2;" "
01;000009;23;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor de despesas (estorno)                 ";"  ";SEI;1;" ";2;" "
01;000009;24;"RESGATE DE APLICACOES/EMPRESTIMOS - Valor do Credito (estorno)                  ";"  ";SEI;1;" ";2;" "
01;000009;25;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IRF (estorno)                ";"  ";SEI;1;" ";2;" "
01;000009;26;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IOF (estorno)                ";"  ";SEI;1;" ";2;" "
01;000009;27;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao do IRF s/ SWAP(estorno)         ";"  ";SEI;1;" ";2;" "
01;000009;28;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao de despesas (estorno)           ";"  ";SEI;1;" ";2;" "
01;000009;29;"RESGATE DE APLICACOES/EMPRESTIMOS - Apropriacao dos Juros (estorno)             ";"  ";SEI;1;" ";2;" "
01;000009;30;"RESGATE DE APLICACOES/EMPRESTIMOS - Resgate de Emprestimos  (alteracao)         ";"  ";SEH;1;" ";2;" "
