AK8_FILIAL;AK8_CODIGO;AK8_DESCRI;AK8_FUNCAO;AK8_VISUAL;AK8_PROPLC
"  ";000314;"RECALCULO DO CUSTO MEDIO                                    ";"MATA330   ";2;NULL
"  ";000340;"Documento Hábil                                             ";"FINA761   ";2;NULL
"  ";000350;"Geracao de projeto                                          ";"PMSA110   ";2;NULL
"  ";000351;"Mudanca de fase do projeto                                  ";"PMSA200   ";2;NULL
"  ";000354;"PLANILHA DE CONTRATO                                        ";"CNTA300   ";2;NULL
"  ";000355;"MEDIÇÃO DE CONTRATO                                         ";"CNTA120   ";2;NULL
"  ";000356;"Liberacao de Solicitacao de Contingencia                    ";"PCOA530   ";2;NULL
"  ";000357;"Cronograma do Contrato                                      ";"CNTA300   ";2;NULL
"  ";000358;"Planejamento orcamentario                                   ";"PCOXPNJ   ";2;NULL
"  ";000359;"Caixinha                                                    ";"FINA550   ";2;NULL
"  ";000362;"Geração de Notas (Faturamento)                              ";"MATA468N  ";2;NULL
"  ";000374;"Simulação de Depreciação                                    ";"ATFA350   ";2;NULL
"  ";000363;"Cálculo da Depreciação                                      ";"ATFA050   ";2;NULL
"  ";000364;"Descalculo de Depreciação                                   ";"ATFA070   ";2;NULL
"  ";000365;"Depreciação Acelerada                                       ";"ATFA171   ";2;NULL
"  ";000366;"Aquisição por Transferencia                                 ";"ATFA250   ";2;NULL
"  ";000368;"Transferencia de Ativos                                     ";"ATFA060   ";2;NULL
"  ";000369;"Ampliação                                                   ";"ATFA150   ";2;NULL
"  ";000370;"Baixa com Cálculo de Depreciação                            ";"ATFA036   ";2;NULL
"  ";000371;"Baixa sem Calculo de depreciação                            ";"ATFA036   ";2;NULL
"  ";000372;"Baixa de Adiantamento com Calculo de depreciação            ";"ATFA040   ";2;NULL
"  ";000373;"Baixa de Adiantamento Sem Cálculo de Depreciação            ";"ATFA045   ";2;NULL
"  ";000375;"Importação de Arquivos                                      ";"PCOA009   ";2;NULL
"  ";000376;"Rateio PC                                                   ";"MATA120   ";2;NULL
"  ";000377;"Registro de Treinamento                                     ";"TRMA050   ";2;NULL
"  ";000400;"Nota de Empenho                                             ";"GCPA400   ";2;NULL
"  ";000401;"Pedido de Viagem                                            ";"PCOXRES   ";2;NULL
