Tabelas;Descricao;Orcamento/Planejamento;Cadastro/Movimentos/Saldos;Modo;Modoun;Modoemp;Conferido;Obs.
AMM;Projeto Do Planejamento;Planejamento;Cadastro;C;C;C;;
AMO;Fase Orcamentaria;Orcamento;Cadastro;C;C;C;;
AMP;Projeto Planej.X Unid.Orc.X Cc;Planejamento;Cadastro;C;C;C;;
AMQ;Eventos Planilha Orcamentaria;Orcamento;Cadastro;C;C;C;;
AMR;Fase X Eventos Orcamentarios;Orcamento;Cadastro;C;C;C;;
AMU;Controle Do Planejamento;Planejamento;Cadastro;E;E;E;;
AMV;Limite De Conta X Projeto;Orcamento;Cadastro;C;C;C;;
AMW;Cabec Regras Distrib. Orc.;Orcamento;Cadastro;C;C;C;;
AMX;Projeto Orcamentario;Orcamento;Cadastro;C;C;C;;
AMY;Proj. Orc. X C. Orcam. X C.C.;Orcamento;Cadastro;C;C;C;;
AMZ;Itens Regras Distrib Orc.;Orcamento;Cadastro;C;C;C;;
